source_image_relpath,patch_relpath,patch_index,confidence,monitoring_station,transect,assigned_annotator
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3106.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3106\Coral12.JPG,12,0.2082,Coral Garden S,T1,1
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3104.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3104\Coral10.JPG,10,0.467,Coral Garden S,T1,1
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3110.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3110\Coral5.JPG,5,0.6542,Coral Garden S,T1,1
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4867.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4867\Coral1.JPG,1,0.2607,Coral Garden S,T1,1
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3113.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3113\Coral11.JPG,11,0.5218,Coral Garden S,T1,1
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4886.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4886\Coral22.JPG,22,0.196,Coral Garden S,T1,1
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3088.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3088\Coral15.JPG,15,0.1774,Coral Garden S,T1,1
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4849.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4849\Coral47.JPG,47,0.1785,Coral Garden S,T1,1
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3135.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3135\Coral2.JPG,2,0.4548,Coral Garden S,T1,1
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4828.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4828\Coral5.JPG,5,0.4237,Coral Garden S,T1,1
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3103.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3103\Coral2.JPG,2,0.8332,Coral Garden S,T1,1
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3116.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3116\Coral15.JPG,15,0.2889,Coral Garden S,T1,1
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3129.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3129\Coral16.JPG,16,0.5095,Coral Garden S,T1,1
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3112.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3112\Coral14.JPG,14,0.3525,Coral Garden S,T1,1
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4829.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4829\Coral2.JPG,2,0.6475,Coral Garden S,T1,1
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4843.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4843\Coral3.JPG,3,0.5046,Coral Garden S,T1,1
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3093.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3093\Coral2.JPG,2,0.666,Coral Garden S,T1,1
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4840.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4840\Coral8.JPG,8,0.2959,Coral Garden S,T1,1
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3096.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3096\Coral5.JPG,5,0.2552,Coral Garden S,T1,1
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4830.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4830\Coral1.JPG,1,0.8266,Coral Garden S,T1,1
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4848.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4848\Coral23.JPG,23,0.3576,Coral Garden S,T1,1
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4884.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4884\Coral11.JPG,11,0.2538,Coral Garden S,T1,1
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3110.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3110\Coral26.JPG,26,0.2956,Coral Garden S,T1,1
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3097.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3097\Coral1.JPG,1,0.7474,Coral Garden S,T1,1
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4841.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4841\Coral12.JPG,12,0.1952,Coral Garden S,T1,1
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3088.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3088\Coral1.JPG,1,0.6837,Coral Garden S,T1,1
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3123.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3123\Coral21.JPG,21,0.29,Coral Garden S,T1,1
