source_image_relpath,patch_relpath,patch_index,confidence,monitoring_station,transect,assigned_annotator
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4851.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4851\Coral4.JPG,4,0.65,Coral Garden S,T1,4
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3133.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3133\Coral8.JPG,8,0.1874,Coral Garden S,T1,4
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3111.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3111\Coral13.JPG,13,0.3531,Coral Garden S,T1,4
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4861.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4861\Coral19.JPG,19,0.1851,Coral Garden S,T1,4
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3102.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3102\Coral13.JPG,13,0.2955,Coral Garden S,T1,4
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3109.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3109\Coral22.JPG,22,0.2187,Coral Garden S,T1,4
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3123.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3123\Coral4.JPG,4,0.6415,Coral Garden S,T1,4
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4859.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4859\Coral9.JPG,9,0.2866,Coral Garden S,T1,4
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3128.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3128\Coral1.JPG,1,0.8419,Coral Garden S,T1,4
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3100.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3100\Coral19.JPG,19,0.2291,Coral Garden S,T1,4
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4863.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4863\Coral15.JPG,15,0.344,Coral Garden S,T1,4
