Name,Date,Monitoring Station,Transect number,Quadrat number,Temperature,Observer,Height (cm),Latitude,Longitude,Depth,Camera,Photographer,Water quality,Strobes,Framing gear used,White balance card,Comments
2024_AUG_CG_D_T1/GOPR4527.JPG,2024-08-03,Coral Garden D,T1,1,30,,,"13,51937","120,95555",8,GoPro 9,,,,,,
2024_AUG_CG_D_T1/GOPR4528.JPG,2024-08-03,Coral Garden D,T1,2,30,,,"13,51937","120,95555",8,GoPro 9,,,,,,
2024_AUG_CG_D_T1/GOPR4529.JPG,2024-08-03,Coral Garden D,T1,3,30,,,"13,51937","120,95555",8,GoPro 9,,,,,,
2024_AUG_CG_D_T1/GOPR4530.JPG,2024-08-03,Coral Garden D,T1,4,30,,,"13,51937","120,95555",8,GoPro 9,,,,,,
2024_AUG_CG_D_T1/GOPR4531.JPG,2024-08-03,Coral Garden D,T1,5,30,,,"13,51937","120,95555",8,GoPro 9,,,,,,
2024_AUG_CG_D_T1/GOPR4532.JPG,2024-08-03,Coral Garden D,T1,6,30,,,"13,51937","120,95555",8,GoPro 9,,,,,,
2024_AUG_CG_D_T1/GOPR4533.JPG,2024-08-03,Coral Garden D,T1,7,30,,,"13,51937","120,95555",8,GoPro 9,,,,,,
2024_AUG_CG_D_T1/GOPR4534.JPG,2024-08-03,Coral Garden D,T1,8,30,,,"13,51937","120,95555",8,GoPro 9,,,,,,
2024_AUG_CG_D_T1/GOPR4535.JPG,2024-08-03,Coral Garden D,T1,9,30,,,"13,51937","120,95555",8,GoPro 9,,,,,,
2024_AUG_CG_D_T1/GOPR4536.JPG,2024-08-03,Coral Garden D,T1,10,30,,,"13,51937","120,95555",8,GoPro 9,,,,,,
2024_AUG_CG_D_T1/GOPR4537.JPG,2024-08-03,Coral Garden D,T1,11,30,,,"13,51937","120,95555",8,GoPro 9,,,,,,
2024_AUG_CG_D_T1/GOPR4538.JPG,2024-08-03,Coral Garden D,T1,12,30,,,"13,51937","120,95555",8,GoPro 9,,,,,,
2024_AUG_CG_D_T1/GOPR4539.JPG,2024-08-03,Coral Garden D,T1,13,30,,,"13,51937","120,95555",8,GoPro 9,,,,,,
2024_AUG_CG_D_T1/GOPR4549.JPG,2024-08-03,Coral Garden D,T1,14,30,,,"13,51937","120,95555",8,GoPro 9,,,,,,
2024_AUG_CG_D_T1/GOPR4550.JPG,2024-08-03,Coral Garden D,T1,15,30,,,"13,51937","120,95555",8,GoPro 9,,,,,,
2024_AUG_CG_D_T1/GOPR4551.JPG,2024-08-03,Coral Garden D,T1,16,30,,,"13,51937","120,95555",8,GoPro 9,,,,,,
2024_AUG_CG_D_T1/GOPR4552.JPG,2024-08-03,Coral Garden D,T1,17,30,,,"13,51937","120,95555",8,GoPro 9,,,,,,
