source_image_relpath,patch_relpath,patch_index,confidence,monitoring_station,transect,assigned_annotator
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4837.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4837\Coral1.JPG,1,0.6635,Coral Garden S,T1,5
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4857.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4857\Coral3.JPG,3,0.2041,Coral Garden S,T1,5
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3119.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3119\Coral6.JPG,6,0.3279,Coral Garden S,T1,5
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4868.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4868\Coral1.JPG,1,0.3117,Coral Garden S,T1,5
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4845.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4845\Coral2.JPG,2,0.5563,Coral Garden S,T1,5
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4841.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4841\Coral4.JPG,4,0.4683,Coral Garden S,T1,5
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4854.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4854\Coral8.JPG,8,0.2407,Coral Garden S,T1,5
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4858.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4858\Coral3.JPG,3,0.4248,Coral Garden S,T1,5
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3127.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3127\Coral7.JPG,7,0.1501,Coral Garden S,T1,5
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4838.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4838\Coral1.JPG,1,0.2259,Coral Garden S,T1,5
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3137.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3137\Coral11.JPG,11,0.1775,Coral Garden S,T1,5
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3118.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3118\Coral2.JPG,2,0.5493,Coral Garden S,T1,5
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4824.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4824\Coral17.JPG,17,0.211,Coral Garden S,T1,5
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3089.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3089\Coral14.JPG,14,0.334,Coral Garden S,T1,5
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3131.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3131\Coral30.JPG,30,0.2983,Coral Garden S,T1,5
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3105.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3105\Coral14.JPG,14,0.229,Coral Garden S,T1,5
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4825.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4825\Coral5.JPG,5,0.3591,Coral Garden S,T1,5
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3107.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3107\Coral9.JPG,9,0.2314,Coral Garden S,T1,5
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4882.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4882\Coral1.JPG,1,0.1995,Coral Garden S,T1,5
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3121.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3121\Coral3.JPG,3,0.4681,Coral Garden S,T1,5
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3091.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3091\Coral29.JPG,29,0.1604,Coral Garden S,T1,5
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3104.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3104\Coral25.JPG,25,0.2252,Coral Garden S,T1,5
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4864.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4864\Coral5.JPG,5,0.3726,Coral Garden S,T1,5
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4845.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4845\Coral9.JPG,9,0.1798,Coral Garden S,T1,5
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3109.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3109\Coral2.JPG,2,0.7122,Coral Garden S,T1,5
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4858.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4858\Coral1.JPG,1,0.771,Coral Garden S,T1,5
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3127.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3127\Coral4.JPG,4,0.2067,Coral Garden S,T1,5
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3130.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3130\Coral37.JPG,37,0.1733,Coral Garden S,T1,5
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3125.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3125\Coral22.JPG,22,0.1829,Coral Garden S,T1,5
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4881.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4881\Coral3.JPG,3,0.6335,Coral Garden S,T1,5
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3137.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3137\Coral7.JPG,7,0.2267,Coral Garden S,T1,5
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3117.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3117\Coral25.JPG,25,0.3324,Coral Garden S,T1,5
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3107.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3107\Coral6.JPG,6,0.2914,Coral Garden S,T1,5
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4847.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4847\Coral9.JPG,9,0.3942,Coral Garden S,T1,5
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3124.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3124\Coral11.JPG,11,0.4388,Coral Garden S,T1,5
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4844.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4844\Coral6.JPG,6,0.156,Coral Garden S,T1,5
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4884.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4884\Coral17.JPG,17,0.151,Coral Garden S,T1,5
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4857.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4857\Coral2.JPG,2,0.2782,Coral Garden S,T1,5
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3106.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3106\Coral2.JPG,2,0.6426,Coral Garden S,T1,5
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4861.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4861\Coral21.JPG,21,0.1728,Coral Garden S,T1,5
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3104.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3104\Coral2.JPG,2,0.7136,Coral Garden S,T1,5
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3097.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3097\Coral3.JPG,3,0.2471,Coral Garden S,T1,5
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4886.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4886\Coral12.JPG,12,0.3746,Coral Garden S,T1,5
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4845.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4845\Coral6.JPG,6,0.2656,Coral Garden S,T1,5
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4826.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4826\Coral12.JPG,12,0.4027,Coral Garden S,T1,5
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4849.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4849\Coral19.JPG,19,0.3364,Coral Garden S,T1,5
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4859.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4859\Coral3.JPG,3,0.755,Coral Garden S,T1,5
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3130.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3130\Coral22.JPG,22,0.3115,Coral Garden S,T1,5
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4855.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4855\Coral4.JPG,4,0.2534,Coral Garden S,T1,5
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3114.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3114\Coral15.JPG,15,0.2348,Coral Garden S,T1,5
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4846.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4846\Coral10.JPG,10,0.1873,Coral Garden S,T1,5
