source_image_relpath,patch_relpath,patch_index,confidence,monitoring_station,transect,assigned_annotator
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4864.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4864\Coral1.JPG,1,0.6671,Coral Garden S,T1,2
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3092.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3092\Coral22.JPG,22,0.3372,Coral Garden S,T1,2
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3134.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3134\Coral2.JPG,2,0.4104,Coral Garden S,T1,2
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3125.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3125\Coral3.JPG,3,0.5992,Coral Garden S,T1,2
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3132.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3132\Coral9.JPG,9,0.4696,Coral Garden S,T1,2
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4855.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4855\Coral5.JPG,5,0.16,Coral Garden S,T1,2
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3117.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3117\Coral20.JPG,20,0.3715,Coral Garden S,T1,2
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3090.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3090\Coral22.JPG,22,0.2857,Coral Garden S,T1,2
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3114.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3114\Coral6.JPG,6,0.4167,Coral Garden S,T1,2
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4846.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4846\Coral8.JPG,8,0.2211,Coral Garden S,T1,2
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4827.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4827\Coral14.JPG,14,0.3322,Coral Garden S,T1,2
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4862.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4862\Coral10.JPG,10,0.243,Coral Garden S,T1,2
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4857.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4857\Coral1.JPG,1,0.2928,Coral Garden S,T1,2
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3133.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3133\Coral3.JPG,3,0.3429,Coral Garden S,T1,2
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4861.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4861\Coral12.JPG,12,0.2288,Coral Garden S,T1,2
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3119.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3119\Coral4.JPG,4,0.4627,Coral Garden S,T1,2
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3113.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3113\Coral8.JPG,8,0.5569,Coral Garden S,T1,2
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4886.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4886\Coral24.JPG,24,0.1612,Coral Garden S,T1,2
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3092.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3092\Coral25.JPG,25,0.2917,Coral Garden S,T1,2
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3126.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3126\Coral3.JPG,3,0.2923,Coral Garden S,T1,2
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3115.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3115\Coral3.JPG,3,0.5555,Coral Garden S,T1,2
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3120.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3120\Coral12.JPG,12,0.1599,Coral Garden S,T1,2
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3108.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3108\Coral4.JPG,4,0.5963,Coral Garden S,T1,2
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4829.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4829\Coral1.JPG,1,0.6947,Coral Garden S,T1,2
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3105.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3105\Coral3.JPG,3,0.5495,Coral Garden S,T1,2
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4846.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4846\Coral9.JPG,9,0.1928,Coral Garden S,T1,2
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3095.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3095\Coral9.JPG,9,0.2689,Coral Garden S,T1,2
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3098.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3098\Coral8.JPG,8,0.5311,Coral Garden S,T1,2
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3121.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3121\Coral21.JPG,21,0.1698,Coral Garden S,T1,2
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4830.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4830\Coral5.JPG,5,0.1926,Coral Garden S,T1,2
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4848.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4848\Coral19.JPG,19,0.4557,Coral Garden S,T1,2
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4852.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4852\Coral10.JPG,10,0.1966,Coral Garden S,T1,2
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3110.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3110\Coral20.JPG,20,0.3934,Coral Garden S,T1,2
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3092.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3092\Coral9.JPG,9,0.5766,Coral Garden S,T1,2
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4841.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4841\Coral2.JPG,2,0.6048,Coral Garden S,T1,2
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3123.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3123\Coral3.JPG,3,0.6472,Coral Garden S,T1,2
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3128.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3128\Coral16.JPG,16,0.2656,Coral Garden S,T1,2
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3135.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3135\Coral3.JPG,3,0.4005,Coral Garden S,T1,2
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3126.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3126\Coral2.JPG,2,0.4149,Coral Garden S,T1,2
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4858.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4858\Coral8.JPG,8,0.2129,Coral Garden S,T1,2
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4828.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4828\Coral9.JPG,9,0.2695,Coral Garden S,T1,2
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3100.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3100\Coral27.JPG,27,0.1607,Coral Garden S,T1,2
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3115.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3115\Coral18.JPG,18,0.2779,Coral Garden S,T1,2
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4853.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4853\Coral6.JPG,6,0.7001,Coral Garden S,T1,2
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4881.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4881\Coral2.JPG,2,0.6692,Coral Garden S,T1,2
